"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116"
"1",1,0.837192,0.723992,0.714543,0.607531,0.588598,0.726177,0.733429,0.56637,0.571422,0.732387,0.690289,0.689967,0.658501,0.642363,0.603589,0.708004,0.679699,0.844637,0.811516,0.425428,0.385908,0.630849,0.580822,0.502332,0.495559,0.521666,0.526271,0.609496,0.577906,0.564755,0.550062,0.775318,0.754578,0.608618,0.566458,0.476872,0.450898,0.443878,0.492301,0.327447,0.359769,0.622467,0.600741,0.569394,0.579661,0.567929,0.620588,0.643428,0.598668,0.60493,0.516027,0.504295,0.458898,0.543915,0.550921,0.860757,0.770813,0.700481,0.671944,0.677801,0.57388,0.73785,0.697556,0.487844,0.527906,0.714815,0.687557,0.710778,0.675469,0.362099,0.363542,0.423522,0.380528,0.376088,0.399147,0.417335,0.414528,0.615594,0.615561,0.652863,0.639094,0.574348,0.586219,0.550783,0.507296,0.481553,0.458899,0.596389,0.579279,0.355669,0.386954,0.298197,0.373208,0.294684,0.248546,0.392774,0.348792,0.331354,0.376901,0.38775,0.376187,0.344158,0.30566,0.230335,0.286099,0.267853,0.148644,0.168361,0.33727,0.356179,0.379774,0.268125,0.351038,0.264919,0.020578
"2",0.837192,1,0.620606,0.671886,0.549683,0.528186,0.604064,0.655014,0.502421,0.502028,0.585194,0.616922,0.567233,0.572463,0.575456,0.554584,0.709144,0.758531,0.794182,0.863688,0.436407,0.391346,0.558281,0.509093,0.457758,0.466158,0.470409,0.465646,0.597976,0.614108,0.565711,0.541242,0.771714,0.773722,0.567582,0.552203,0.447927,0.446989,0.430791,0.500552,0.33262,0.392857,0.6724,0.662545,0.635328,0.657783,0.616214,0.675147,0.672196,0.645104,0.539056,0.476938,0.431185,0.424031,0.51714,0.556882,0.851342,0.907951,0.61458,0.618048,0.523713,0.449239,0.667436,0.676558,0.365883,0.37976,0.701445,0.683597,0.792507,0.779299,0.362416,0.353722,0.425787,0.439708,0.370326,0.42966,0.453691,0.465196,0.623697,0.676846,0.617689,0.626891,0.526423,0.570593,0.41898,0.428135,0.416064,0.40507,0.483383,0.485687,0.319995,0.338172,0.264994,0.328696,0.34505,0.311095,0.498292,0.379684,0.387043,0.367012,0.374449,0.328644,0.374776,0.278639,0.255776,0.277678,0.297457,0.165335,0.202535,0.364401,0.410777,0.425941,0.281233,0.39859,0.295995,0.005839
"3",0.723992,0.620606,1,0.865224,0.775811,0.721733,0.882504,0.781109,0.762259,0.70044,0.606006,0.570737,0.678346,0.619231,0.691309,0.631398,0.539323,0.528452,0.713862,0.648915,0.465021,0.407303,0.860509,0.804026,0.705701,0.679323,0.656308,0.651135,0.476444,0.459008,0.626023,0.609181,0.692942,0.648794,0.660261,0.599594,0.464816,0.445067,0.484497,0.516019,0.285672,0.314046,0.599296,0.600445,0.536252,0.555994,0.586584,0.60473,0.600532,0.609683,0.565491,0.558763,0.535303,0.519408,0.544563,0.556247,0.630728,0.583951,0.610376,0.591677,0.621352,0.545436,0.635626,0.574717,0.64692,0.61947,0.726033,0.682559,0.533276,0.534394,0.4036,0.442896,0.350322,0.324278,0.330284,0.398319,0.369864,0.361612,0.503263,0.495833,0.577571,0.587822,0.545939,0.547784,0.603254,0.562625,0.483963,0.498302,0.624359,0.625182,0.497484,0.506749,0.496167,0.544111,0.282568,0.236818,0.364589,0.315889,0.358164,0.38771,0.459897,0.462081,0.385405,0.34845,0.312342,0.373895,0.294999,0.154902,0.18777,0.297731,0.338849,0.351147,0.326451,0.347906,0.271008,0.014969
"4",0.714543,0.671886,0.865224,1,0.719022,0.730379,0.818658,0.871837,0.702252,0.737197,0.578214,0.640002,0.633115,0.684657,0.648976,0.676307,0.53708,0.54465,0.693844,0.679313,0.474111,0.427846,0.805272,0.833144,0.668576,0.696108,0.634564,0.664606,0.486457,0.506456,0.637786,0.657433,0.700537,0.688388,0.669949,0.643913,0.462891,0.467851,0.475541,0.529293,0.304962,0.356436,0.584678,0.587305,0.532434,0.558971,0.569408,0.599204,0.592131,0.59632,0.550282,0.536686,0.509062,0.494082,0.527951,0.551189,0.634169,0.624006,0.600389,0.615423,0.593219,0.607453,0.621179,0.650067,0.60884,0.660253,0.729882,0.731429,0.547024,0.552126,0.411512,0.442358,0.36644,0.349287,0.336957,0.398586,0.376702,0.380776,0.487132,0.487519,0.562621,0.590128,0.532512,0.564443,0.577009,0.601823,0.461751,0.503432,0.595389,0.637208,0.513721,0.469106,0.513955,0.500281,0.274013,0.23693,0.372722,0.305115,0.352899,0.365426,0.492484,0.435843,0.399882,0.325737,0.314871,0.354051,0.309283,0.166202,0.177324,0.291108,0.344164,0.343744,0.305265,0.310409,0.250319,0.012041
"5",0.607531,0.549683,0.775811,0.719022,1,0.811258,0.769678,0.707867,0.807494,0.734758,0.522022,0.500014,0.580579,0.525931,0.620728,0.557804,0.419829,0.431467,0.569198,0.541303,0.41736,0.348722,0.653743,0.622694,0.580284,0.527983,0.672925,0.618507,0.38602,0.380017,0.446657,0.429793,0.589729,0.551234,0.55739,0.535021,0.401331,0.410482,0.402334,0.451421,0.199067,0.235986,0.526012,0.522241,0.469803,0.496669,0.506142,0.531164,0.554907,0.568396,0.53759,0.549713,0.502882,0.497722,0.485937,0.507686,0.528963,0.523953,0.617246,0.611691,0.610006,0.581917,0.508039,0.522873,0.523816,0.583408,0.646953,0.615603,0.483264,0.502033,0.30211,0.356791,0.262997,0.246365,0.262428,0.338367,0.320594,0.324644,0.372751,0.383765,0.418712,0.431854,0.443941,0.456957,0.43885,0.417544,0.413126,0.397377,0.593134,0.607327,0.466716,0.45452,0.463292,0.483584,0.236683,0.184622,0.319346,0.248111,0.308767,0.334706,0.430465,0.429076,0.353918,0.308873,0.234651,0.286534,0.293971,0.156409,0.143407,0.255484,0.30547,0.324212,0.332988,0.315696,0.242698,0.007711
"6",0.588598,0.528186,0.721733,0.730379,0.811258,1,0.705981,0.722086,0.714938,0.804677,0.474431,0.516248,0.530346,0.555084,0.567617,0.57541,0.391507,0.404847,0.53768,0.526246,0.390103,0.363935,0.626018,0.640098,0.547171,0.564089,0.596444,0.658104,0.339106,0.368715,0.421523,0.422837,0.558162,0.530228,0.517566,0.515684,0.383108,0.401675,0.375105,0.439783,0.189559,0.244901,0.486398,0.486723,0.41621,0.458215,0.480935,0.499709,0.533271,0.55957,0.521133,0.55832,0.528825,0.520287,0.482372,0.488918,0.501949,0.493619,0.586229,0.599241,0.574808,0.586141,0.472418,0.510411,0.475013,0.589634,0.597888,0.591996,0.448625,0.462663,0.278467,0.339631,0.242077,0.240374,0.240129,0.330172,0.297349,0.306832,0.349853,0.351793,0.398512,0.397431,0.422596,0.441646,0.420325,0.401974,0.424044,0.399306,0.572913,0.598412,0.475534,0.43834,0.477262,0.460511,0.207061,0.161915,0.292837,0.225315,0.29278,0.314728,0.430377,0.408496,0.352306,0.299879,0.230671,0.280154,0.281659,0.155228,0.116383,0.237361,0.28021,0.309746,0.320899,0.305385,0.224671,-0.010755
"7",0.726177,0.604064,0.882504,0.818658,0.769678,0.705981,1,0.888749,0.796397,0.747419,0.686028,0.657538,0.751237,0.694102,0.675587,0.642753,0.540281,0.51577,0.68771,0.617025,0.420672,0.374645,0.731972,0.688032,0.577662,0.563491,0.560331,0.560082,0.534621,0.509802,0.592209,0.576364,0.692736,0.661275,0.604796,0.562656,0.421497,0.389563,0.430544,0.454748,0.25631,0.289231,0.563277,0.557775,0.504438,0.5275,0.547929,0.56238,0.577399,0.570229,0.573703,0.554736,0.518445,0.497878,0.527692,0.529807,0.591851,0.546047,0.661904,0.6251,0.736909,0.673013,0.645109,0.646236,0.612081,0.671577,0.692152,0.661782,0.490454,0.498576,0.425441,0.447817,0.377726,0.337284,0.349433,0.396154,0.37127,0.365599,0.503984,0.493788,0.558505,0.558168,0.532572,0.55227,0.551147,0.517407,0.411008,0.415992,0.639429,0.620801,0.466756,0.466986,0.43511,0.484824,0.270709,0.216092,0.338122,0.288536,0.329442,0.351378,0.471204,0.467578,0.377285,0.331272,0.266409,0.319377,0.279223,0.172865,0.168051,0.283684,0.292908,0.306924,0.302143,0.305573,0.257738,0.049415
"8",0.733429,0.655014,0.781109,0.871837,0.707867,0.722086,0.888749,1,0.720755,0.775996,0.650406,0.738389,0.691492,0.762701,0.629442,0.674376,0.562129,0.551889,0.671754,0.643706,0.421634,0.385593,0.668853,0.685071,0.544146,0.573505,0.526631,0.562533,0.559924,0.573208,0.607833,0.615723,0.704864,0.703813,0.590583,0.582516,0.411631,0.395564,0.403715,0.452154,0.267791,0.309967,0.55858,0.552629,0.504665,0.531752,0.543789,0.564706,0.579809,0.564737,0.577007,0.546419,0.507356,0.468026,0.52785,0.525122,0.617462,0.591329,0.656308,0.656268,0.697894,0.728248,0.63346,0.727008,0.538762,0.691426,0.685389,0.69774,0.516851,0.528585,0.423704,0.441326,0.389956,0.368086,0.342518,0.392463,0.377715,0.377948,0.508239,0.508458,0.543553,0.554498,0.519661,0.558982,0.504259,0.505004,0.382321,0.384279,0.590631,0.598763,0.460151,0.411203,0.411938,0.413684,0.255991,0.210905,0.338067,0.277938,0.325919,0.329122,0.471791,0.418045,0.372595,0.302203,0.257277,0.291742,0.284822,0.166425,0.148661,0.281664,0.284462,0.294374,0.26779,0.285771,0.239144,0.035259
"9",0.56637,0.502421,0.762259,0.702252,0.807494,0.714938,0.796397,0.720755,1,0.774142,0.541022,0.502573,0.638342,0.561147,0.665594,0.586542,0.429541,0.435496,0.539123,0.497896,0.372628,0.31885,0.645794,0.607843,0.55902,0.516382,0.547577,0.554228,0.427026,0.41888,0.464167,0.460892,0.570798,0.543372,0.511933,0.491541,0.347217,0.336698,0.374732,0.392907,0.202166,0.228719,0.485084,0.477923,0.418173,0.448834,0.480163,0.489108,0.511207,0.52635,0.488432,0.504851,0.473104,0.451003,0.453164,0.467037,0.485489,0.477918,0.586626,0.574093,0.637284,0.603349,0.518719,0.530927,0.531553,0.589631,0.576375,0.543557,0.417861,0.43329,0.334105,0.400986,0.301415,0.268219,0.283618,0.330237,0.340148,0.337964,0.391434,0.402609,0.423413,0.435464,0.460454,0.471211,0.461378,0.407609,0.363318,0.345838,0.593361,0.583549,0.459606,0.450097,0.467151,0.494909,0.234639,0.193137,0.312844,0.260369,0.303365,0.340161,0.455524,0.465469,0.375036,0.340063,0.264089,0.302118,0.301672,0.197986,0.146997,0.236174,0.297404,0.312639,0.344036,0.309322,0.227846,0.04508
"10",0.571422,0.502028,0.70044,0.737197,0.734758,0.804677,0.747419,0.775996,0.774142,1,0.515131,0.562478,0.610547,0.631504,0.603486,0.635322,0.382488,0.387688,0.522389,0.486071,0.351194,0.318643,0.600409,0.616612,0.484361,0.507502,0.534644,0.590433,0.358607,0.383057,0.414539,0.428085,0.519361,0.498065,0.463923,0.456309,0.335749,0.347119,0.331048,0.392217,0.179723,0.21221,0.437584,0.437976,0.359597,0.401374,0.430585,0.443152,0.474587,0.484104,0.482124,0.493377,0.486856,0.464224,0.433779,0.436977,0.465508,0.461089,0.55903,0.577792,0.617576,0.663486,0.489338,0.541158,0.50544,0.630094,0.528524,0.522724,0.401137,0.403749,0.302399,0.345791,0.252584,0.236877,0.23759,0.292131,0.27525,0.280722,0.355813,0.354357,0.404582,0.410797,0.441406,0.460891,0.451153,0.409561,0.381939,0.37774,0.567171,0.587154,0.435024,0.392849,0.447326,0.431897,0.196108,0.156643,0.235643,0.189769,0.234709,0.257454,0.422324,0.395745,0.329648,0.276154,0.208591,0.253239,0.242522,0.153449,0.106026,0.212049,0.217605,0.231158,0.274391,0.247965,0.184624,0.013083
