"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116"
"11",0.626024,0.423711,0.558284,0.527345,0.476777,0.478277,0.649852,0.587487,0.511003,0.480526,1,0.612404,0.781366,0.59503,0.613755,0.549469,0.525964,0.46451,0.558504,0.457357,0.316193,0.217537,0.503799,0.465842,0.378396,0.337439,0.408322,0.399188,0.588191,0.510412,0.302968,0.324711,0.437205,0.432834,0.382442,0.371972,0.385656,0.344997,0.29884,0.352977,0.242546,0.237456,0.245223,0.23228,0.193859,0.210346,0.290134,0.276491,0.251918,0.275954,0.286788,0.322536,0.315277,0.310792,0.35507,0.352681,0.423503,0.362345,0.462682,0.441157,0.548796,0.460806,0.525279,0.448747,0.431059,0.407002,0.403733,0.382947,0.254084,0.253884,0.308624,0.32273,0.314741,0.237982,0.26299,0.207507,0.210125,0.209722,0.391839,0.41295,0.477014,0.467319,0.502689,0.50432,0.513171,0.443638,0.390862,0.420969,0.543027,0.510172,0.33962,0.38603,0.348633,0.429049,0.212242,0.134954,0.191189,0.15583,0.214994,0.232586,0.272198,0.368734,0.237826,0.201716,0.195002,0.217023,0.161992,0.087698,0.155563,0.178852,0.200968,0.253812,0.277712,0.181874,0.122739,0.079358
"12",0.600714,0.519911,0.561878,0.603194,0.458969,0.46941,0.606115,0.705895,0.439674,0.503278,0.612404,1,0.609594,0.805373,0.537128,0.648033,0.496344,0.541769,0.528063,0.500202,0.277629,0.19445,0.516387,0.479847,0.308296,0.274974,0.391689,0.394694,0.510601,0.615606,0.343919,0.370683,0.451064,0.474165,0.289627,0.293316,0.431056,0.447791,0.317546,0.386412,0.262966,0.271322,0.261786,0.251364,0.22138,0.229592,0.282808,0.31023,0.31124,0.333421,0.472494,0.436951,0.502201,0.401599,0.499679,0.469857,0.423347,0.421609,0.455821,0.503803,0.533551,0.52119,0.585871,0.615584,0.340008,0.446194,0.382227,0.396375,0.305994,0.297807,0.278889,0.324129,0.206388,0.230519,0.154488,0.217017,0.200778,0.231699,0.388133,0.386113,0.482393,0.505665,0.479082,0.53448,0.535536,0.540481,0.374666,0.439978,0.559878,0.588684,0.369145,0.369846,0.304804,0.335363,0.159295,0.179347,0.172024,0.218366,0.249787,0.268373,0.327982,0.337859,0.272931,0.234537,0.213368,0.217148,0.210879,0.123251,0.113656,0.187513,0.213368,0.21566,0.23087,0.204664,0.159608,0.091911
"13",0.566279,0.387324,0.642017,0.57875,0.561053,0.535904,0.734594,0.626829,0.634055,0.594924,0.781366,0.609594,1,0.708979,0.780371,0.689961,0.443966,0.412049,0.513657,0.397489,0.316231,0.235657,0.599816,0.578003,0.489268,0.429278,0.491319,0.497231,0.525498,0.451488,0.277682,0.301578,0.416654,0.37278,0.451052,0.414976,0.352141,0.323155,0.305157,0.339899,0.191403,0.21081,0.283678,0.272152,0.231116,0.260931,0.305562,0.295473,0.286272,0.327435,0.325599,0.374405,0.351929,0.36297,0.385347,0.379911,0.387179,0.360494,0.505995,0.478813,0.604054,0.531519,0.530784,0.456538,0.565716,0.537443,0.465101,0.440983,0.218178,0.235976,0.324087,0.354498,0.263675,0.191451,0.234278,0.187449,0.171073,0.165228,0.371288,0.386084,0.495767,0.510532,0.551098,0.539531,0.624975,0.537043,0.429429,0.484983,0.618874,0.590318,0.353255,0.400421,0.394184,0.482091,0.201401,0.137838,0.172631,0.131476,0.173316,0.213184,0.296391,0.416087,0.222057,0.21807,0.192625,0.237719,0.161389,0.090934,0.126436,0.172789,0.17511,0.202382,0.241252,0.149746,0.096258,0.078647
"14",0.552739,0.448676,0.608984,0.654116,0.483434,0.497513,0.645855,0.737251,0.505168,0.57204,0.59503,0.805373,0.708979,1,0.623989,0.738644,0.464487,0.472628,0.467494,0.420218,0.294033,0.207707,0.588781,0.585236,0.411289,0.38551,0.453322,0.462346,0.4583,0.555539,0.358684,0.377863,0.447591,0.423582,0.365929,0.348404,0.401498,0.410751,0.317843,0.381921,0.220203,0.249073,0.291594,0.281523,0.261421,0.270423,0.311312,0.336839,0.32755,0.352251,0.490484,0.456821,0.510412,0.425134,0.528825,0.491317,0.402817,0.398626,0.456638,0.503452,0.557719,0.563412,0.56686,0.580801,0.475388,0.563361,0.42808,0.442507,0.266435,0.273538,0.322169,0.35106,0.196403,0.218653,0.171105,0.229896,0.167185,0.194155,0.387868,0.38867,0.501023,0.540969,0.487148,0.53701,0.602921,0.588005,0.381408,0.458973,0.604531,0.605276,0.392789,0.389295,0.355322,0.386947,0.177533,0.201335,0.184356,0.214041,0.248111,0.26449,0.353596,0.373087,0.265414,0.254235,0.242651,0.264256,0.211253,0.120152,0.097334,0.182462,0.196001,0.185218,0.210392,0.167579,0.162054,0.092618
"15",0.531977,0.414805,0.647695,0.569962,0.635108,0.551669,0.638438,0.535832,0.650281,0.582659,0.613755,0.537128,0.780371,0.623989,1,0.777973,0.482999,0.468772,0.51104,0.416436,0.442116,0.332058,0.669748,0.631469,0.596377,0.522306,0.632989,0.622598,0.556635,0.47148,0.342253,0.343054,0.440818,0.390834,0.477881,0.434861,0.410098,0.357128,0.431669,0.43877,0.26084,0.263685,0.342539,0.3264,0.295335,0.318422,0.361941,0.364908,0.336413,0.355792,0.332901,0.363662,0.352426,0.349392,0.448958,0.447316,0.446208,0.425397,0.468949,0.45746,0.524733,0.460261,0.547602,0.471505,0.553669,0.490687,0.509859,0.479443,0.295018,0.316531,0.30779,0.338235,0.281696,0.218587,0.24969,0.217886,0.173235,0.180556,0.394153,0.406854,0.515171,0.536052,0.706987,0.617729,0.615897,0.553036,0.529818,0.547824,0.617261,0.604954,0.377866,0.420854,0.423054,0.512058,0.257013,0.230191,0.257939,0.220756,0.219801,0.274668,0.310305,0.409983,0.239444,0.226846,0.242605,0.295392,0.19018,0.127453,0.181685,0.249847,0.254929,0.261287,0.27362,0.238195,0.170973,0.100242
"16",0.512814,0.42323,0.633541,0.611193,0.544008,0.53905,0.627733,0.607991,0.533298,0.618424,0.549469,0.648033,0.689961,0.738644,0.777973,1,0.47386,0.463203,0.485622,0.430823,0.439699,0.376297,0.662509,0.65735,0.503288,0.481215,0.557774,0.583487,0.548171,0.591725,0.391276,0.409758,0.425881,0.395031,0.388139,0.358793,0.422688,0.420613,0.45726,0.507684,0.27411,0.322433,0.329811,0.321956,0.291462,0.318916,0.330242,0.353005,0.330259,0.337832,0.364279,0.351583,0.396054,0.355504,0.483979,0.459033,0.430172,0.41451,0.431574,0.448601,0.500837,0.474362,0.561998,0.531324,0.465029,0.487724,0.45422,0.452082,0.280245,0.29728,0.319297,0.352364,0.218128,0.207261,0.207335,0.22479,0.149158,0.167699,0.398962,0.391085,0.533617,0.560157,0.673136,0.705286,0.604224,0.602831,0.514108,0.5707,0.580865,0.595238,0.365529,0.382356,0.399271,0.453756,0.237854,0.247665,0.210484,0.224831,0.200345,0.255911,0.33375,0.383951,0.249773,0.233865,0.264381,0.306632,0.206271,0.12616,0.169264,0.235082,0.213596,0.225918,0.231509,0.21224,0.173195,0.125739
"17",0.628221,0.621902,0.531237,0.481833,0.407882,0.340729,0.480262,0.481041,0.379538,0.350985,0.525964,0.496344,0.443966,0.464487,0.482999,0.47386,1,0.838503,0.564097,0.57492,0.361097,0.25124,0.480475,0.407899,0.346073,0.321795,0.354238,0.33033,0.69003,0.687867,0.43496,0.434179,0.634098,0.599973,0.38825,0.392328,0.405031,0.372144,0.357767,0.405239,0.304004,0.293135,0.485147,0.459452,0.460525,0.441576,0.466764,0.502946,0.441962,0.390146,0.365033,0.295755,0.312321,0.258899,0.448723,0.469196,0.734739,0.658571,0.409542,0.407189,0.407264,0.32359,0.675643,0.563743,0.326348,0.282598,0.497079,0.471518,0.523858,0.506836,0.36212,0.382236,0.377031,0.379769,0.305165,0.330007,0.345309,0.360961,0.823564,0.786656,0.761337,0.697117,0.517176,0.592469,0.456028,0.403114,0.353641,0.381057,0.419997,0.408129,0.321706,0.353629,0.279575,0.350228,0.283574,0.268835,0.401891,0.398003,0.38639,0.397216,0.317743,0.354373,0.34826,0.300166,0.31434,0.361251,0.265122,0.178066,0.210542,0.305901,0.394533,0.376778,0.283306,0.3778,0.324116,0.152131
"18",0.584634,0.661832,0.495219,0.466248,0.418996,0.345494,0.435381,0.464562,0.378057,0.352668,0.46451,0.541769,0.412049,0.472628,0.468772,0.463203,0.838503,1,0.541563,0.579076,0.337409,0.243078,0.461923,0.394223,0.334071,0.312169,0.345452,0.326122,0.602341,0.709093,0.403408,0.405833,0.582192,0.574916,0.359583,0.367203,0.37723,0.374781,0.3005,0.401303,0.256874,0.283065,0.468274,0.444701,0.440293,0.427542,0.457402,0.499528,0.431795,0.385724,0.370947,0.292257,0.3382,0.254426,0.433768,0.470768,0.692693,0.708361,0.372694,0.39684,0.36513,0.318403,0.638367,0.616786,0.309151,0.270696,0.464384,0.444202,0.513674,0.506713,0.294156,0.325728,0.306799,0.343932,0.255252,0.294312,0.280815,0.314951,0.680917,0.796125,0.65013,0.679022,0.466765,0.576068,0.432194,0.396568,0.337246,0.395924,0.407338,0.422184,0.299482,0.327414,0.246711,0.318231,0.229995,0.219389,0.373067,0.359075,0.36111,0.367899,0.295447,0.319054,0.327261,0.256166,0.258359,0.296409,0.25934,0.154081,0.144342,0.261531,0.378022,0.346114,0.240516,0.348255,0.2897,0.117117
"19",0.749555,0.673266,0.678756,0.635661,0.458352,0.4137,0.616651,0.593288,0.422751,0.389334,0.558504,0.528063,0.513657,0.467494,0.51104,0.485622,0.564097,0.541563,1,0.85858,0.391445,0.324112,0.592649,0.475487,0.336938,0.306895,0.39091,0.371211,0.54292,0.553912,0.524668,0.526171,0.710971,0.725484,0.403365,0.416771,0.495653,0.488447,0.409002,0.468385,0.355056,0.393261,0.374361,0.352992,0.382534,0.350877,0.337561,0.402183,0.360562,0.325143,0.329216,0.252124,0.269926,0.215945,0.361587,0.38455,0.622777,0.560897,0.41388,0.416154,0.43225,0.371984,0.574181,0.494864,0.364624,0.340973,0.501863,0.466932,0.599278,0.564896,0.425337,0.438853,0.411367,0.414312,0.363195,0.405027,0.411652,0.437596,0.423606,0.440321,0.476632,0.467311,0.486594,0.491155,0.452628,0.381033,0.373292,0.37268,0.470252,0.444187,0.38386,0.44948,0.387922,0.457524,0.276243,0.253688,0.379561,0.366993,0.38152,0.388532,0.40178,0.422097,0.402029,0.334154,0.283037,0.319549,0.335766,0.226284,0.212343,0.337033,0.444533,0.422813,0.357907,0.368505,0.308533,0.073366
"20",0.696773,0.775728,0.547348,0.606159,0.38417,0.374779,0.489738,0.550586,0.33397,0.340012,0.457357,0.500202,0.397489,0.420218,0.416436,0.430823,0.57492,0.579076,0.85858,1,0.388542,0.345767,0.491613,0.411083,0.279647,0.287137,0.336245,0.331833,0.54031,0.587491,0.4853,0.502848,0.748277,0.797376,0.375101,0.419451,0.496641,0.501753,0.418005,0.494471,0.380772,0.426982,0.401293,0.384821,0.420529,0.397527,0.364979,0.433728,0.386275,0.344235,0.30943,0.244244,0.241835,0.17477,0.364318,0.390791,0.639814,0.654547,0.38402,0.407882,0.338532,0.299797,0.534839,0.500406,0.267814,0.256287,0.517035,0.494448,0.773421,0.746653,0.361776,0.388309,0.429535,0.457912,0.351158,0.415449,0.465544,0.508824,0.426671,0.450964,0.446176,0.429706,0.444316,0.484216,0.357032,0.32129,0.336197,0.328459,0.394162,0.37772,0.36215,0.385913,0.373744,0.416444,0.350357,0.328867,0.468986,0.436833,0.41085,0.382581,0.405395,0.393956,0.429778,0.33381,0.304034,0.334684,0.390053,0.271291,0.262311,0.385949,0.525618,0.469481,0.383402,0.437565,0.367465,0.058369
