"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116"
"74",0.504823,0.485894,0.423424,0.469352,0.345634,0.343208,0.501699,0.569002,0.364464,0.360829,0.500458,0.552443,0.485569,0.552155,0.453959,0.509824,0.502892,0.496187,0.532587,0.578649,0.419766,0.409668,0.433374,0.39751,0.270503,0.312521,0.275455,0.271149,0.612226,0.652162,0.578599,0.537851,0.620419,0.656837,0.420675,0.429249,0.499703,0.537629,0.391696,0.427896,0.562276,0.631267,0.364987,0.332025,0.373206,0.376381,0.335357,0.40354,0.337692,0.312461,0.34915,0.28259,0.283217,0.21105,0.440631,0.378831,0.429758,0.390348,0.365684,0.329279,0.42049,0.409629,0.480578,0.494452,0.307327,0.320773,0.403335,0.423291,0.456043,0.420567,0.684947,0.686533,0.876537,1,0.774259,0.786602,0.663807,0.667433,0.463383,0.467772,0.461936,0.455871,0.43417,0.475883,0.397418,0.381843,0.266549,0.232299,0.42373,0.403734,0.496698,0.498103,0.423717,0.450158,0.439272,0.427464,0.545024,0.503422,0.580757,0.551581,0.52575,0.47605,0.513247,0.522977,0.470757,0.484554,0.379425,0.403731,0.314737,0.465805,0.503786,0.52393,0.488818,0.508102,0.525983,0.170711
"75",0.430847,0.40423,0.386996,0.404895,0.300361,0.294821,0.453389,0.496547,0.320091,0.286486,0.469636,0.477607,0.452233,0.485852,0.45503,0.451696,0.439594,0.412857,0.474724,0.498421,0.412849,0.389202,0.414039,0.369254,0.27216,0.291194,0.252988,0.264381,0.565544,0.554025,0.550954,0.504433,0.565382,0.592269,0.423886,0.419875,0.531078,0.550845,0.389688,0.411026,0.539193,0.54876,0.343736,0.304322,0.333371,0.317112,0.297108,0.35378,0.280077,0.247862,0.292832,0.215456,0.224114,0.136461,0.393723,0.321741,0.363431,0.309432,0.319177,0.270296,0.388005,0.348674,0.449229,0.412298,0.313291,0.298823,0.374799,0.381363,0.392298,0.361264,0.658596,0.636977,0.811176,0.774259,1,0.714907,0.678624,0.651432,0.400537,0.411199,0.390338,0.367105,0.389189,0.40587,0.347659,0.312803,0.244851,0.221599,0.392904,0.346577,0.495737,0.509663,0.418619,0.457507,0.42511,0.433669,0.523453,0.502867,0.562015,0.529062,0.512998,0.46978,0.488573,0.532869,0.478276,0.495939,0.419913,0.410834,0.345449,0.473846,0.491525,0.517442,0.477713,0.487208,0.547119,0.200993
"76",0.430771,0.406702,0.383248,0.410296,0.314341,0.306613,0.443572,0.512662,0.317476,0.304229,0.410603,0.461381,0.417177,0.476049,0.399974,0.43673,0.430949,0.418045,0.462289,0.505823,0.383196,0.358822,0.387227,0.357555,0.22246,0.284383,0.228652,0.224576,0.541555,0.548524,0.534626,0.506838,0.570579,0.606879,0.43077,0.448536,0.523649,0.561121,0.412826,0.436466,0.523561,0.575199,0.341376,0.313912,0.336401,0.334185,0.306593,0.371034,0.306687,0.28521,0.317539,0.258861,0.249026,0.153322,0.394151,0.330306,0.3627,0.315072,0.340221,0.30669,0.372898,0.35911,0.441544,0.444874,0.281833,0.312991,0.384053,0.413676,0.372765,0.341562,0.631306,0.629819,0.701283,0.786602,0.714907,1,0.67414,0.680728,0.405161,0.39846,0.383861,0.376254,0.389152,0.407022,0.33664,0.32784,0.241234,0.19121,0.389114,0.368765,0.505049,0.507565,0.467481,0.4673,0.406023,0.413312,0.523841,0.484413,0.558619,0.536351,0.556198,0.488023,0.524911,0.524246,0.481105,0.489709,0.386718,0.420859,0.326191,0.462842,0.523278,0.519047,0.490697,0.525729,0.542451,0.159035
"77",0.488177,0.4399,0.437262,0.429935,0.308858,0.299862,0.482602,0.504164,0.324368,0.277275,0.438991,0.457321,0.425866,0.443495,0.412631,0.412974,0.465434,0.43549,0.489909,0.519527,0.391051,0.328541,0.434993,0.393629,0.326559,0.341137,0.288631,0.278535,0.529511,0.501228,0.576159,0.539576,0.64849,0.661744,0.547565,0.579937,0.598398,0.595711,0.388951,0.396148,0.456147,0.500419,0.429103,0.393597,0.37161,0.357407,0.364591,0.421571,0.320823,0.294138,0.339305,0.272739,0.254932,0.188687,0.40242,0.35374,0.413623,0.3553,0.365395,0.316021,0.437774,0.375789,0.462059,0.425697,0.390398,0.370809,0.472669,0.476458,0.440786,0.421238,0.705871,0.687566,0.667001,0.663807,0.678624,0.67414,1,0.919691,0.46399,0.470891,0.399268,0.382525,0.359944,0.371817,0.375184,0.347464,0.232404,0.190914,0.406172,0.375315,0.589125,0.593473,0.522904,0.554985,0.448831,0.427241,0.593581,0.551574,0.622161,0.616826,0.59668,0.55618,0.572129,0.577654,0.527072,0.55409,0.489127,0.478124,0.38604,0.538468,0.628907,0.609139,0.576415,0.546301,0.588243,0.198385
"78",0.469378,0.437768,0.43833,0.470051,0.325351,0.327978,0.479497,0.533038,0.328578,0.311935,0.414529,0.466676,0.40143,0.452231,0.397532,0.435149,0.445963,0.431175,0.489967,0.524736,0.375047,0.322022,0.441422,0.424131,0.315851,0.362621,0.294683,0.287474,0.519774,0.50638,0.590222,0.574191,0.637608,0.668708,0.541657,0.595483,0.579569,0.606226,0.38685,0.399957,0.458422,0.506906,0.419596,0.381988,0.365044,0.364532,0.362391,0.426617,0.314752,0.301304,0.335064,0.279668,0.248573,0.197876,0.394458,0.348924,0.396329,0.344651,0.353773,0.326551,0.408756,0.403778,0.434611,0.430944,0.367427,0.393778,0.472996,0.496696,0.438757,0.426927,0.712494,0.714236,0.645134,0.667433,0.651432,0.680728,0.919691,1,0.446872,0.457628,0.390481,0.381538,0.372973,0.384367,0.362694,0.364214,0.231094,0.179562,0.385151,0.378051,0.619228,0.597622,0.561189,0.557446,0.43337,0.402767,0.579753,0.529661,0.613501,0.603667,0.620122,0.543886,0.57869,0.567304,0.530638,0.542926,0.473225,0.461898,0.360067,0.534579,0.630271,0.613294,0.58608,0.544813,0.569489,0.191178
"79",0.675001,0.678039,0.443384,0.445494,0.376857,0.374512,0.463937,0.521161,0.38727,0.360058,0.638527,0.617324,0.585983,0.605791,0.542429,0.550867,0.873847,0.811953,0.55202,0.631423,0.38193,0.310771,0.413688,0.370018,0.314195,0.306988,0.32031,0.292432,0.746261,0.724768,0.427081,0.408337,0.625178,0.60178,0.397473,0.397294,0.489452,0.485431,0.429361,0.458064,0.454155,0.416467,0.588059,0.574855,0.545607,0.549254,0.578213,0.610979,0.541228,0.497922,0.499547,0.466047,0.477529,0.418721,0.576716,0.576761,0.730626,0.675254,0.508581,0.487608,0.507455,0.438414,0.669028,0.628556,0.352991,0.34246,0.484577,0.497166,0.595647,0.569608,0.44023,0.411857,0.456684,0.463383,0.400537,0.405161,0.46399,0.446872,1,0.848382,0.849061,0.808726,0.634038,0.686757,0.606535,0.602533,0.464184,0.471055,0.503387,0.522053,0.33907,0.370921,0.245865,0.308375,0.450041,0.391608,0.571762,0.530393,0.515768,0.532519,0.36344,0.349366,0.361887,0.400521,0.336565,0.373022,0.25935,0.209653,0.351614,0.458392,0.454444,0.447801,0.329532,0.425285,0.38017,0.239785
"80",0.687168,0.722325,0.441341,0.443501,0.380123,0.360105,0.458506,0.507298,0.377119,0.362367,0.64879,0.619727,0.590258,0.59287,0.549826,0.547796,0.855695,0.865506,0.559413,0.639958,0.404131,0.338928,0.427354,0.375721,0.371394,0.342227,0.372738,0.335776,0.736858,0.745518,0.449101,0.415728,0.630071,0.606161,0.423309,0.403903,0.486052,0.497439,0.417933,0.475244,0.447726,0.443709,0.625918,0.620926,0.560685,0.55727,0.612745,0.641808,0.549184,0.500818,0.496619,0.462113,0.480874,0.424273,0.57526,0.582537,0.752666,0.713897,0.501407,0.483995,0.511,0.413833,0.669731,0.623469,0.365194,0.333927,0.490973,0.494548,0.631323,0.602639,0.439353,0.419186,0.464623,0.467772,0.411199,0.39846,0.470891,0.457628,0.848382,1,0.835594,0.836073,0.629176,0.707293,0.597362,0.579528,0.456731,0.488712,0.489496,0.513226,0.316586,0.35476,0.214553,0.293114,0.441016,0.388036,0.553316,0.511409,0.492459,0.507629,0.333629,0.329629,0.332238,0.364497,0.308791,0.341791,0.28839,0.199718,0.333741,0.457957,0.423118,0.408482,0.298386,0.397193,0.34769,0.271626
"81",0.761291,0.775078,0.477153,0.478836,0.434164,0.433676,0.514498,0.556103,0.432603,0.419821,0.703589,0.676946,0.669247,0.662677,0.608485,0.605901,0.88783,0.859453,0.613499,0.692272,0.395638,0.348144,0.424934,0.375375,0.345183,0.309353,0.359443,0.346871,0.780309,0.772317,0.391203,0.366168,0.650884,0.608099,0.409033,0.384537,0.529507,0.517372,0.485494,0.529238,0.498454,0.475722,0.658774,0.649728,0.630547,0.646208,0.663641,0.709464,0.642919,0.605287,0.614826,0.582433,0.588599,0.520068,0.696928,0.695099,0.820153,0.778408,0.605072,0.578513,0.59615,0.487072,0.789633,0.721481,0.410779,0.381042,0.552306,0.554597,0.674717,0.655461,0.407323,0.39199,0.450968,0.461936,0.390338,0.383861,0.399268,0.390481,0.849061,0.835594,1,0.930908,0.715445,0.793795,0.754676,0.733048,0.558687,0.578898,0.616803,0.639983,0.362419,0.403075,0.240104,0.326993,0.483418,0.432637,0.612388,0.578587,0.558125,0.586704,0.39009,0.370978,0.386865,0.408592,0.332226,0.365307,0.283982,0.212524,0.324347,0.484811,0.467407,0.452473,0.335083,0.438419,0.354654,0.230857
"82",0.771008,0.799749,0.513442,0.517637,0.47149,0.450809,0.532523,0.567004,0.453356,0.437936,0.68858,0.679565,0.670142,0.675418,0.624742,0.627482,0.846638,0.861572,0.620217,0.698618,0.416672,0.376831,0.465272,0.419777,0.384296,0.353259,0.410444,0.385137,0.742394,0.748967,0.414996,0.383578,0.659628,0.615191,0.438504,0.402674,0.522921,0.524476,0.47883,0.537729,0.480549,0.47525,0.674041,0.67004,0.654268,0.671885,0.684483,0.725583,0.670198,0.643212,0.652752,0.628624,0.621062,0.55871,0.712872,0.730785,0.821248,0.8126,0.625332,0.614189,0.606169,0.501204,0.773929,0.734077,0.443039,0.415774,0.587087,0.593644,0.686818,0.678041,0.41045,0.390543,0.435426,0.455871,0.367105,0.376254,0.382525,0.381538,0.808726,0.836073,0.930908,1,0.710532,0.798171,0.773779,0.802373,0.562541,0.619115,0.636722,0.681608,0.371745,0.410872,0.252731,0.339258,0.484719,0.418081,0.608256,0.569817,0.552586,0.582191,0.396189,0.379443,0.389155,0.404121,0.331132,0.359642,0.285924,0.216544,0.287905,0.461495,0.450962,0.435114,0.325829,0.431057,0.3598,0.210054
"83",0.658663,0.632201,0.530011,0.508324,0.479436,0.48033,0.539586,0.539652,0.449833,0.460655,0.638083,0.609893,0.676168,0.640783,0.737597,0.731515,0.657396,0.633719,0.57392,0.595912,0.46507,0.439557,0.535961,0.497532,0.406163,0.388382,0.416431,0.400613,0.727296,0.659974,0.436946,0.422702,0.560902,0.539932,0.418422,0.375944,0.547861,0.549164,0.619893,0.615754,0.581526,0.540589,0.56981,0.560257,0.528409,0.540085,0.546188,0.599482,0.536245,0.529471,0.482844,0.507494,0.467376,0.419514,0.619676,0.613736,0.654053,0.607239,0.508056,0.499058,0.515054,0.449437,0.626445,0.572694,0.424752,0.390922,0.488666,0.488409,0.526066,0.502877,0.418662,0.407679,0.424843,0.43417,0.389189,0.389152,0.359944,0.372973,0.634038,0.629176,0.715445,0.710532,1,0.850469,0.691184,0.670338,0.723541,0.665139,0.595172,0.611612,0.372738,0.412136,0.329828,0.403632,0.513017,0.487282,0.553086,0.544507,0.468609,0.497812,0.392699,0.406488,0.379423,0.390597,0.407489,0.433452,0.312631,0.248515,0.377061,0.521615,0.421374,0.391868,0.348291,0.433911,0.380611,0.295931
